team_name,opponent,match_date,year,round,venue,home_away,result,team_win,recent_form_5,avg_score_last5,win_streak_entering_match,days_rest,points_before_match,ladder_position_before_match,h2h_win_rate_vs_opponent,venue_win_rate
Adelaide Crows,Richmond Tigers,1993-03-28,1993,1,Melbourne Cricket Ground,A,W,1,0.8,123.4,-1,211.0,0.0,1.0,1.0,0.6666666666666666
Adelaide Crows,West Coast Eagles,1993-04-04,1993,2,AAMI Stadium,H,W,1,0.8,126.4,1,7.0,4.0,1.0,0.0,0.6363636363636364
Adelaide Crows,Fitzroy Lions,1993-04-16,1993,4,AAMI Stadium,H,W,1,0.8,124.6,2,12.0,8.0,2.0,0.6666666666666666,0.6521739130434783
Adelaide Crows,Melbourne Demons,1993-04-25,1993,5,Melbourne Cricket Ground,A,L,0,0.8,126.6,3,9.0,12.0,1.0,0.5,0.75
Adelaide Crows,Hawthorn Hawks,1993-04-30,1993,6,AAMI Stadium,H,L,0,0.6,106.4,-1,5.0,12.0,2.0,1.0,0.6666666666666666
Adelaide Crows,Collingwood Magpies,1993-05-08,1993,7,Victoria Park,A,L,0,0.6,107.6,-2,8.0,12.0,4.0,0.0,0.0
Adelaide Crows,North Melbourne Kangaroos,1993-05-16,1993,8,AAMI Stadium,H,W,1,0.4,87.2,-3,8.0,12.0,6.0,0.6666666666666666,0.64
Adelaide Crows,Essendon Bombers,1993-05-22,1993,9,Melbourne Cricket Ground,A,L,0,0.4,91.6,1,6.0,16.0,4.0,0.0,0.6
Adelaide Crows,Brisbane Bears,1993-05-30,1993,10,The Gabba,A,W,1,0.2,84.0,-1,8.0,16.0,8.0,1.0,
Adelaide Crows,Western Bulldogs,1993-06-13,1993,11,AAMI Stadium,H,W,1,0.4,94.8,1,14.0,20.0,5.0,0.3333333333333333,0.6538461538461539
Adelaide Crows,Carlton Blues,1993-06-19,1993,12,Princes Park,A,L,0,0.6,98.6,2,6.0,24.0,4.0,0.5,0.5
Adelaide Crows,Geelong Cats,1993-06-27,1993,13,AAMI Stadium,H,W,1,0.6,98.8,-1,8.0,24.0,6.0,0.0,0.6666666666666666
Adelaide Crows,Sydney Swans,1993-07-02,1993,14,Sydney Cricket Ground,A,W,1,0.6,97.2,1,5.0,28.0,4.0,0.6666666666666666,1.0
Adelaide Crows,St Kilda Saints,1993-07-11,1993,15,AAMI Stadium,H,W,1,0.8,109.4,2,9.0,32.0,3.0,0.3333333333333333,0.6785714285714286
Adelaide Crows,Richmond Tigers,1993-07-16,1993,16,AAMI Stadium,H,W,1,0.8,116.2,3,5.0,36.0,2.0,1.0,0.6896551724137931
Adelaide Crows,West Coast Eagles,1993-07-25,1993,17,Domain Stadium,A,L,0,0.8,129.0,4,9.0,40.0,2.0,0.25,0.0
Adelaide Crows,Fitzroy Lions,1993-08-07,1993,19,Princes Park,A,L,0,0.8,127.6,-1,13.0,40.0,4.0,0.75,0.4
Adelaide Crows,Melbourne Demons,1993-08-15,1993,20,AAMI Stadium,H,W,1,0.6,123.4,-2,8.0,40.0,6.0,0.3333333333333333,0.7
Adelaide Crows,Hawthorn Hawks,1993-08-21,1993,21,Waverley Park,A,L,0,0.6,119.2,1,6.0,44.0,5.0,0.5,0.3333333333333333
Adelaide Crows,Collingwood Magpies,1993-08-29,1993,22,AAMI Stadium,H,W,1,0.4,105.6,-1,8.0,44.0,5.0,0.0,0.7096774193548387
Adelaide Crows,Hawthorn Hawks,1993-09-05,1993,EF,Melbourne Cricket Ground,H,W,1,0.4,98.4,1,7.0,48.0,3.0,0.3333333333333333,0.5
Adelaide Crows,Carlton Blues,1993-09-11,1993,SF,Waverley Park,A,L,0,0.6,106.4,2,6.0,52.0,3.0,0.3333333333333333,0.25
Adelaide Crows,essendon bombers,1993-09-18,1993,PF,Melbourne Cricket Ground,A,L,0,0.6,101.2,-1,7.0,52.0,2.0,1.0,0.5714285714285714
Adelaide Crows,Carlton Blues,1994-03-27,1994,1,AAMI Stadium,H,W,1,0.4,100.2,-2,190.0,0.0,1.0,0.25,0.71875
Adelaide Crows,West Coast Eagles,1994-04-03,1994,2,Domain Stadium,A,L,0,0.6,112.6,1,7.0,4.0,1.0,0.2,0.0
Adelaide Crows,Sydney Swans,1994-04-10,1994,3,Sydney Cricket Ground,A,W,1,0.4,101.2,-1,7.0,4.0,2.0,0.75,1.0
Adelaide Crows,Geelong Cats,1994-04-17,1994,4,AAMI Stadium,H,W,1,0.4,110.0,1,7.0,8.0,1.0,0.3333333333333333,0.7272727272727273
Adelaide Crows,Western Bulldogs,1994-04-24,1994,5,AAMI Stadium,H,L,0,0.6,117.2,2,7.0,12.0,1.0,0.5,0.7352941176470589
Adelaide Crows,brisbane bears,1994-04-30,1994,6,The Gabba,A,W,1,0.6,115.8,-1,6.0,12.0,2.0,1.0,1.0
Adelaide Crows,Essendon Bombers,1994-05-15,1994,8,Princes Park,A,L,0,0.6,110.0,1,15.0,16.0,2.0,0.0,0.3333333333333333
Adelaide Crows,Hawthorn Hawks,1994-05-22,1994,9,AAMI Stadium,H,L,0,0.6,112.0,-1,7.0,16.0,4.0,0.5,0.7142857142857143
Adelaide Crows,Fitzroy Lions,1994-05-29,1994,10,AAMI Stadium,H,W,1,0.4,90.8,-2,7.0,16.0,6.0,0.6,0.6944444444444444
Adelaide Crows,Collingwood Magpies,1994-06-04,1994,11,Victoria Park,A,L,0,0.4,90.6,1,6.0,20.0,4.0,0.2,0.0
Adelaide Crows,North Melbourne Kangaroos,1994-06-11,1994,12,Princes Park,A,L,0,0.4,85.4,-1,7.0,20.0,8.0,0.75,0.2857142857142857
Adelaide Crows,Melbourne Demons,1994-06-19,1994,13,AAMI Stadium,H,W,1,0.2,75.0,-2,8.0,20.0,8.0,0.5,0.7027027027027027
Adelaide Crows,St Kilda Saints,1994-06-25,1994,14,Waverley Park,A,D,0,0.4,74.0,1,6.0,24.0,5.0,0.5,0.2
Adelaide Crows,Richmond Tigers,1994-07-03,1994,15,AAMI Stadium,H,L,0,0.4,80.2,0,8.0,26.0,7.0,1.0,0.7105263157894737
Adelaide Crows,Carlton Blues,1994-07-10,1994,16,Princes Park,A,L,0,0.2,76.2,-1,7.0,26.0,9.0,0.4,0.25
Adelaide Crows,West Coast Eagles,1994-07-17,1994,17,AAMI Stadium,H,W,1,0.2,78.0,-2,7.0,26.0,12.0,0.16666666666666666,0.6923076923076923
Adelaide Crows,Sydney Swans,1994-07-22,1994,18,AAMI Stadium,H,L,0,0.4,80.6,1,5.0,30.0,9.0,0.8,0.7
Adelaide Crows,Geelong Cats,1994-07-31,1994,19,GMHBA Stadium,A,L,0,0.2,79.0,-1,9.0,30.0,11.0,0.5,0.0
Adelaide Crows,Western Bulldogs,1994-08-07,1994,20,Western Oval,A,L,0,0.2,70.8,-2,7.0,30.0,11.0,0.4,0.0
Adelaide Crows,Brisbane Bears,1994-08-14,1994,21,AAMI Stadium,H,W,1,0.2,61.0,-3,7.0,30.0,11.0,1.0,0.6829268292682927
Adelaide Crows,Essendon Bombers,1994-08-28,1994,23,AAMI Stadium,H,W,1,0.4,63.6,1,14.0,34.0,11.0,0.0,0.6904761904761905
Adelaide Crows,Hawthorn Hawks,1994-09-03,1994,24,Waverley Park,A,L,0,0.4,70.2,2,6.0,38.0,11.0,0.4,0.16666666666666666
Adelaide Crows,North Melbourne Kangaroos,1995-03-31,1995,1,Melbourne Cricket Ground,A,L,0,0.4,64.6,-1,209.0,0.0,1.0,0.6,0.5
Adelaide Crows,Brisbane Bears,1995-04-09,1995,2,The Gabba,A,L,0,0.4,72.2,-2,9.0,0.0,9.0,1.0,1.0
Adelaide Crows,St Kilda Saints,1995-04-16,1995,3,AAMI Stadium,H,W,1,0.4,85.2,-3,7.0,0.0,10.0,0.4,0.6976744186046512
Adelaide Crows,west coast eagles,1995-04-23,1995,4,AAMI Stadium,H,W,1,0.4,85.8,1,7.0,4.0,9.0,,0.7045454545454546
Adelaide Crows,Sydney Swans,1995-04-30,1995,5,Sydney Cricket Ground,A,L,0,0.4,74.0,2,7.0,8.0,7.0,0.6666666666666666,1.0
Adelaide Crows,Melbourne Demons,1995-05-05,1995,6,AAMI Stadium,H,W,1,0.4,82.0,-1,5.0,8.0,8.0,0.6,0.7111111111111111
Adelaide Crows,richmond tigers,1995-05-12,1995,7,Melbourne Cricket Ground,A,L,0,0.6,82.2,1,7.0,12.0,7.0,1.0,0.4444444444444444
Adelaide Crows,Fitzroy Lions,1995-05-20,1995,8,AAMI Stadium,H,L,0,0.6,74.0,-1,8.0,12.0,9.0,0.6666666666666666,0.717391304347826
Adelaide Crows,Hawthorn Hawks,1995-05-27,1995,9,AAMI Stadium,H,W,1,0.4,68.8,-2,7.0,12.0,9.0,0.3333333333333333,0.7021276595744681
Adelaide Crows,geelong cats,1995-06-03,1995,10,GMHBA Stadium,A,L,0,0.4,69.6,1,7.0,16.0,7.0,1.0,0.0
Adelaide Crows,Western Bulldogs,1995-06-10,1995,11,AAMI Stadium,H,W,1,0.4,70.4,-1,7.0,16.0,8.0,0.3333333333333333,0.7083333333333334
Adelaide Crows,fremantle dockers,1995-06-24,1995,12,AAMI Stadium,H,W,1,0.4,73.0,1,14.0,20.0,7.0,,0.7142857142857143
Adelaide Crows,Collingwood Magpies,1995-06-30,1995,13,Melbourne Cricket Ground,A,L,0,0.6,82.4,2,6.0,24.0,7.0,0.16666666666666666,0.4
Adelaide Crows,Essendon Bombers,1995-07-08,1995,14,Melbourne Cricket Ground,A,L,0,0.6,80.4,-1,8.0,24.0,7.0,0.2,0.36363636363636365
Adelaide Crows,Carlton Blues,1995-07-15,1995,15,Princes Park,A,L,0,0.4,80.4,-2,7.0,24.0,9.0,0.3333333333333333,0.2222222222222222
Adelaide Crows,North Melbourne Kangaroos,1995-07-21,1995,16,AAMI Stadium,H,W,1,0.4,82.2,-3,6.0,24.0,11.0,0.5,0.72
Adelaide Crows,Brisbane Bears,1995-07-30,1995,17,AAMI Stadium,H,L,0,0.4,77.2,1,9.0,28.0,9.0,0.8,0.7254901960784313
Adelaide Crows,St Kilda Saints,1995-08-05,1995,18,Waverley Park,A,W,1,0.2,65.4,-1,6.0,28.0,9.0,0.5,0.14285714285714285
Adelaide Crows,West Coast Eagles,1995-08-13,1995,19,Domain Stadium,A,L,0,0.4,73.8,1,8.0,32.0,9.0,0.2857142857142857,0.0
Adelaide Crows,Sydney Swans,1995-08-19,1995,20,AAMI Stadium,H,L,0,0.4,70.2,-1,6.0,32.0,9.0,0.5714285714285714,0.7115384615384616
Adelaide Crows,Melbourne Demons,1995-08-25,1995,21,Melbourne Cricket Ground,A,W,1,0.4,68.8,-2,6.0,32.0,10.0,0.6666666666666666,0.3333333333333333
Adelaide Crows,Richmond Tigers,1995-09-02,1995,22,AAMI Stadium,H,L,0,0.4,85.0,1,8.0,36.0,8.0,0.8,0.6981132075471698
Adelaide Crows,Sydney Swans,1996-03-31,1996,1,AAMI Stadium,H,W,1,0.4,93.0,-1,211.0,0.0,1.0,0.5,0.6851851851851852
Adelaide Crows,Fitzroy Lions,1996-04-06,1996,2,Western Oval,A,W,1,0.4,99.4,1,6.0,4.0,1.0,0.5714285714285714,0.0
Adelaide Crows,Geelong Cats,1996-04-12,1996,3,AAMI Stadium,H,W,1,0.6,117.6,2,6.0,8.0,1.0,0.4,0.6909090909090909
Adelaide Crows,Essendon Bombers,1996-04-20,1996,4,AAMI Stadium,H,W,1,0.8,127.4,3,8.0,12.0,1.0,0.16666666666666666,0.6964285714285714
Adelaide Crows,North Melbourne Kangaroos,1996-04-27,1996,5,Melbourne Cricket Ground,A,L,0,0.8,130.4,4,7.0,16.0,1.0,0.5714285714285714,0.38461538461538464
Adelaide Crows,Collingwood Magpies,1996-05-04,1996,6,Victoria Park,A,L,0,0.8,135.8,-1,7.0,16.0,1.0,0.14285714285714285,0.0
Adelaide Crows,Fremantle Dockers,1996-05-12,1996,7,AAMI Stadium,H,W,1,0.6,125.8,-2,8.0,16.0,4.0,,0.7017543859649122
Adelaide Crows,St Kilda Saints,1996-05-19,1996,8,AAMI Stadium,H,W,1,0.6,125.6,1,7.0,20.0,3.0,0.5714285714285714,0.7068965517241379
Adelaide Crows,western bulldogs,1996-05-25,1996,9,Western Oval,A,L,0,0.6,116.6,2,6.0,24.0,2.0,0.0,0.3333333333333333
Adelaide Crows,west coast eagles,1996-06-09,1996,10,AAMI Stadium,H,L,0,0.4,100.2,-1,15.0,24.0,4.0,1.0,0.711864406779661
Adelaide Crows,Hawthorn Hawks,1996-06-15,1996,11,Waverley Park,A,L,0,0.4,92.8,-2,6.0,24.0,7.0,0.42857142857142855,0.25
Adelaide Crows,richmond tigers,1996-06-21,1996,12,Melbourne Cricket Ground,A,L,0,0.4,96.6,-3,6.0,24.0,8.0,0.5,0.35714285714285715
Adelaide Crows,Melbourne Demons,1996-06-30,1996,13,AAMI Stadium,H,L,0,0.2,86.6,-4,9.0,24.0,8.0,0.7142857142857143,0.7
Adelaide Crows,Brisbane Bears,1996-07-06,1996,14,AAMI Stadium,H,W,1,0.0,81.6,-5,6.0,24.0,9.0,0.6666666666666666,0.6885245901639344
Adelaide Crows,Carlton Blues,1996-07-13,1996,15,Princes Park,A,L,0,0.2,86.2,1,7.0,28.0,8.0,0.2857142857142857,0.2
Adelaide Crows,Sydney Swans,1996-07-21,1996,16,Sydney Cricket Ground,A,L,0,0.2,83.8,-1,8.0,28.0,10.0,0.5555555555555556,0.75
Adelaide Crows,Fitzroy Lions,1996-07-28,1996,17,AAMI Stadium,H,W,1,0.2,81.6,-2,7.0,28.0,10.0,0.625,0.6935483870967742
Adelaide Crows,Geelong Cats,1996-08-03,1996,18,GMHBA Stadium,A,L,0,0.4,98.4,1,6.0,32.0,10.0,0.5,0.0
Adelaide Crows,Essendon Bombers,1996-08-10,1996,19,Princes Park,A,L,0,0.4,97.8,-1,7.0,32.0,10.0,0.2857142857142857,0.18181818181818182
Adelaide Crows,North Melbourne Kangaroos,1996-08-17,1996,20,AAMI Stadium,H,L,0,0.2,98.8,-2,7.0,32.0,11.0,0.5,0.6984126984126984
Adelaide Crows,Collingwood Magpies,1996-08-25,1996,21,AAMI Stadium,H,L,0,0.2,100.0,-3,8.0,32.0,11.0,0.125,0.6875
Adelaide Crows,St Kilda Saints,1996-08-31,1996,22,Waverley Park,A,L,0,0.2,101.6,-4,6.0,32.0,11.0,0.625,0.2222222222222222
Adelaide Crows,Brisbane Lions,1997-03-30,1997,1,AAMI Stadium,H,W,1,0.0,83.4,-5,211.0,0.0,1.0,,0.676923076923077
Adelaide Crows,Richmond Tigers,1997-04-05,1997,2,Melbourne Cricket Ground,A,L,0,0.2,96.0,1,6.0,4.0,1.0,0.6666666666666666,0.3333333333333333
Adelaide Crows,Carlton Blues,1997-04-13,1997,3,Princes Park,A,L,0,0.2,94.6,-1,8.0,4.0,5.0,0.25,0.16666666666666666
Adelaide Crows,Port Adelaide Power,1997-04-20,1997,4,AAMI Stadium,H,L,0,0.2,96.6,-2,7.0,4.0,8.0,,0.6818181818181818
Adelaide Crows,Western Bulldogs,1997-04-26,1997,5,Princes Park,A,W,1,0.2,91.8,-3,6.0,4.0,13.0,0.42857142857142855,0.15384615384615385
Adelaide Crows,Collingwood Magpies,1997-05-03,1997,6,Victoria Park,A,L,0,0.4,101.0,1,7.0,8.0,10.0,0.1111111111111111,0.0
Adelaide Crows,Essendon Bombers,1997-05-11,1997,7,AAMI Stadium,H,W,1,0.2,91.2,-1,8.0,8.0,12.0,0.25,0.6716417910447762
Adelaide Crows,Sydney Swans,1997-05-17,1997,8,AAMI Stadium,H,W,1,0.4,96.4,1,6.0,12.0,8.0,0.5,0.6764705882352942
Adelaide Crows,Hawthorn Hawks,1997-05-24,1997,9,Waverley Park,A,W,1,0.6,109.2,2,7.0,16.0,6.0,0.375,0.2
Adelaide Crows,fremantle dockers,1997-06-02,1997,10,Domain Stadium,A,W,1,0.8,115.2,3,9.0,20.0,5.0,1.0,0.0
Adelaide Crows,Melbourne Demons,1997-06-08,1997,11,Melbourne Cricket Ground,A,W,1,0.8,112.0,4,6.0,24.0,3.0,0.625,0.3125
Adelaide Crows,North Melbourne Kangaroos,1997-06-15,1997,12,AAMI Stadium,H,L,0,1.0,114.8,5,7.0,28.0,2.0,0.4444444444444444,0.6811594202898551
Adelaide Crows,Geelong Cats,1997-06-28,1997,13,GMHBA Stadium,A,L,0,0.8,106.2,-1,13.0,28.0,2.0,0.42857142857142855,0.0
Adelaide Crows,West Coast Eagles,1997-07-04,1997,14,AAMI Stadium,H,W,1,0.6,88.2,-2,6.0,28.0,4.0,0.25,0.6714285714285714
Adelaide Crows,st kilda saints,1997-07-12,1997,15,AAMI Stadium,H,W,1,0.6,89.0,1,8.0,32.0,3.0,0.0,0.676056338028169
Adelaide Crows,Brisbane Lions,1997-07-18,1997,16,The Gabba,A,L,0,0.6,83.2,2,6.0,36.0,3.0,1.0,0.6666666666666666
Adelaide Crows,richmond tigers,1997-07-26,1997,17,AAMI Stadium,H,W,1,0.4,81.2,-1,8.0,36.0,3.0,0.3333333333333333,0.6805555555555556
Adelaide Crows,Carlton Blues,1997-08-03,1997,18,AAMI Stadium,H,W,1,0.6,101.6,1,8.0,40.0,2.0,0.2222222222222222,0.684931506849315
Adelaide Crows,Port Adelaide Power,1997-08-10,1997,19,AAMI Stadium,A,W,1,0.8,116.2,2,7.0,44.0,2.0,0.0,0.6891891891891891
Adelaide Crows,Western Bulldogs,1997-08-17,1997,20,AAMI Stadium,H,L,0,0.8,108.0,3,7.0,48.0,1.0,0.5,0.6933333333333334
Adelaide Crows,Collingwood Magpies,1997-08-25,1997,21,AAMI Stadium,H,W,1,0.6,104.8,-1,8.0,48.0,3.0,0.1,0.6842105263157895
Adelaide Crows,Essendon Bombers,1997-08-31,1997,22,Princes Park,A,L,0,0.8,97.0,1,6.0,52.0,3.0,0.3333333333333333,0.21428571428571427
Adelaide Crows,West Coast Eagles,1997-09-07,1997,QF,AAMI Stadium,H,W,1,0.6,79.6,-1,7.0,52.0,4.0,0.3333333333333333,0.6883116883116883
Adelaide Crows,Geelong Cats,1997-09-13,1997,SF,AAMI Stadium,H,W,1,0.6,74.0,1,6.0,56.0,2.0,0.375,0.6923076923076923
Adelaide Crows,Western Bulldogs,1997-09-20,1997,PF,Melbourne Cricket Ground,H,W,1,0.6,76.2,2,7.0,60.0,2.0,0.4444444444444444,0.35294117647058826
Adelaide Crows,St Kilda Saints,1997-09-27,1997,GF,Melbourne Cricket Ground,H,W,1,0.8,82.8,3,7.0,64.0,2.0,0.5555555555555556,0.3888888888888889
Adelaide Crows,Carlton Blues,1998-03-28,1998,1,Princes Park,A,L,0,0.8,98.2,4,182.0,0.0,1.0,0.3,0.2
Adelaide Crows,Fremantle Dockers,1998-04-05,1998,2,AAMI Stadium,H,W,1,0.8,91.2,-1,8.0,0.0,9.0,1.0,0.6962025316455697
Adelaide Crows,St Kilda Saints,1998-04-12,1998,3,Waverley Park,A,L,0,0.8,104.8,1,7.0,4.0,3.0,0.6,0.2727272727272727
Adelaide Crows,Port Adelaide Power,1998-04-19,1998,4,AAMI Stadium,A,L,0,0.6,101.6,-1,7.0,4.0,9.0,0.5,0.7
Adelaide Crows,Geelong Cats,1998-04-26,1998,5,AAMI Stadium,H,W,1,0.4,95.8,-2,7.0,4.0,12.0,0.4444444444444444,0.691358024691358
Adelaide Crows,North Melbourne Kangaroos,1998-05-03,1998,6,Melbourne Cricket Ground,A,L,0,0.4,88.2,1,7.0,8.0,9.0,0.4,0.42105263157894735
Adelaide Crows,West Coast Eagles,1998-05-10,1998,7,AAMI Stadium,H,W,1,0.4,96.0,-1,7.0,8.0,10.0,0.4,0.6951219512195121
Adelaide Crows,Richmond Tigers,1998-05-17,1998,8,AAMI Stadium,H,L,0,0.4,78.4,1,7.0,12.0,9.0,0.5714285714285714,0.6987951807228916
Adelaide Crows,Brisbane Lions,1998-05-23,1998,9,The Gabba,A,W,1,0.4,82.2,-1,6.0,12.0,10.0,0.5,0.5
Adelaide Crows,Melbourne Demons,1998-05-31,1998,10,AAMI Stadium,H,W,1,0.6,89.0,1,8.0,16.0,8.0,0.6666666666666666,0.6904761904761905
Adelaide Crows,Western Bulldogs,1998-06-07,1998,11,Princes Park,A,L,0,0.6,93.8,2,7.0,20.0,7.0,0.5,0.1875
Adelaide Crows,Essendon Bombers,1998-06-13,1998,12,AAMI Stadium,H,W,1,0.6,91.0,-1,6.0,20.0,10.0,0.3,0.6941176470588235
Adelaide Crows,collingwood magpies,1998-06-20,1998,13,Melbourne Cricket Ground,A,W,1,0.6,96.8,1,7.0,24.0,9.0,,0.4
Adelaide Crows,Sydney Swans,1998-06-28,1998,14,Sydney Cricket Ground,A,W,1,0.8,96.8,2,8.0,28.0,5.0,0.5454545454545454,0.6
Adelaide Crows,Hawthorn Hawks,1998-07-05,1998,15,AAMI Stadium,H,W,1,0.8,102.0,3,7.0,32.0,3.0,0.4444444444444444,0.6976744186046512
Adelaide Crows,Carlton Blues,1998-07-17,1998,16,AAMI Stadium,H,L,0,0.8,93.4,4,12.0,36.0,3.0,0.2727272727272727,0.7011494252873564
